Case ID;Court ID;Lawyer ssn;Client ssn;Case Value;Case Date
43;2;443-86-2818;300-16-9594;91308;2020-06-19
44;3;295-62-2630;328-97-5983;89546;2020-08-10
45;1;774-78-1028;663-41-7713;25790;2020-07-18
46;3;601-34-3357;300-16-9594;53660;2020-05-26
47;3;745-11-2147;328-97-5983;94172;2020-07-22
48;1;057-09-5985;407-02-9374;27808;2020-06-30
49;1;149-44-5404;663-41-7713;28325;2020-06-28
50;2;774-78-1028;616-05-7176;92756;2020-06-06
51;3;251-74-8573;513-57-8403;92526;2020-07-19
52;4;293-64-6251;616-05-7176;67100;2020-08-06
53;2;295-62-2630;002-14-8350;98588;2020-08-26
54;2;370-01-4095;836-18-7873;14601;2020-07-27
55;3;745-11-2147;663-41-7713;74710;2020-07-28
56;4;370-01-4095;328-97-5983;83176;2020-07-26
57;3;149-44-5404;663-41-7713;69350;2020-06-02
58;3;293-64-6251;065-39-2466;96512;2020-07-03
59;2;774-78-1028;328-97-5983;93264;2020-07-18
60;1;443-86-2818;065-39-2466;30439;2020-08-21
61;1;149-44-5404;328-97-5983;43974;2020-08-28
62;2;443-86-2818;663-41-7713;2945;2020-06-13
63;4;057-09-5985;407-02-9374;21388;2020-06-24
64;3;293-64-6251;663-41-7713;94535;2020-06-29
65;1;295-62-2630;513-57-8403;5245;2020-07-25
66;3;295-62-2630;836-18-7873;2221;2020-06-04
67;1;745-11-2147;002-14-8350;6570;2020-07-28
68;4;057-09-5985;106-34-8045;45402;2020-06-01
69;3;293-64-6251;106-34-8045;38451;2020-06-16
70;1;251-74-8573;300-16-9594;95009;2020-06-02
71;3;251-74-8573;513-57-8403;83674;2020-08-16
72;3;443-86-2818;407-02-9374;69183;2020-08-16
73;1;774-78-1028;065-39-2466;48145;2020-06-07
74;1;295-62-2630;002-14-8350;65072;2020-07-08
75;4;251-74-8573;513-57-8403;80527;2020-08-30
76;4;149-44-5404;513-57-8403;45796;2020-05-31
77;1;295-62-2630;328-97-5983;9407;2020-08-25
78;1;251-74-8573;106-34-8045;36421;2020-06-13
79;1;293-64-6251;836-18-7873;29430;2020-06-13
80;4;370-01-4095;106-34-8045;35413;2020-08-25
81;3;293-64-6251;513-57-8403;85691;2020-08-18
82;3;057-09-5985;836-18-7873;66625;2020-07-02
83;3;149-44-5404;616-05-7176;82165;2020-07-01
84;2;251-74-8573;513-57-8403;27651;2020-06-17
85;3;601-34-3357;663-41-7713;42609;2020-07-22
86;4;293-64-6251;513-57-8403;63219;2020-05-25
87;1;251-74-8573;513-57-8403;95140;2020-07-03
88;2;293-64-6251;407-02-9374;9122;2020-08-08
89;4;251-74-8573;300-16-9594;12151;2020-08-04
90;1;057-09-5985;663-41-7713;34229;2020-08-31
91;4;745-11-2147;300-16-9594;38278;2020-06-15
92;4;745-11-2147;002-14-8350;37156;2020-07-14
93;3;745-11-2147;065-39-2466;74615;2020-06-08
94;2;149-44-5404;836-18-7873;29943;2020-07-24
95;2;601-34-3357;300-16-9594;54893;2020-07-05
96;4;251-74-8573;002-14-8350;46336;2020-06-09
97;2;057-09-5985;407-02-9374;48133;2020-08-15
98;3;057-09-5985;065-39-2466;79665;2020-08-14
99;1;293-64-6251;300-16-9594;44156;2020-08-16
100;4;293-64-6251;407-02-9374;24284;2020-06-09

